first_name,last_name,plays,gender,country,age,DOB,height,weight,current_singles,highest_singles,current_doubles,highest_doubles,singles_main_tournmaents,singles_lower_tournaments,doubles_main_tournaments,doubles_lower_tournaments,wins_singles,losses_singles,total_singles,References
చదునేలి,మిఖాయిల్,కుడి,పురుషుడు,జార్జియా,41,26. 7. 1980,,,,1432,,1358,0,0,0,0,0,1,,https://www.tennisexplorer.com/list-players/?country=georgia
చంటూరియా,జార్జి,ఎడమ,పురుషుడు,జార్జియా,33,23. 1. 1989,,,,1689,,1358,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=georgia
చిఖ్లాడ్జ్,లేడో ,కుడి,పురుషుడు,జార్జియా,36,15. 6. 1985,,,,354,,549,0,7,0,7,8,5,,https://www.tennisexplorer.com/list-players/?country=georgia
ఎనుకిడ్జ్,ఒటారి,కుడి,పురుషుడు,జార్జియా,39,8. 3. 1983,,,,1553,,631,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=georgia
జిజి తాష్విలి,అలెగ్జాండర్,కుడి,పురుషుడు,జార్జియా,32,1. 6. 1989,,,,1471,,1165,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=georgia
గోకాడ్జ్ ,సోజర్,కుడి,పురుషుడు,జార్జియా,34,20. 8. 1987,,,,1521,,650,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=georgia
ఇటోనిష్విలి,నోడార్,కుడి,పురుషుడు,జార్జియా,34,14. 11. 1987,,,,1054,,1129,0,0,0,0,4,6,,https://www.tennisexplorer.com/list-players/?country=georgia
జవఖిష్విలి,జార్జి,కుడి,పురుషుడు,జార్జియా,26,23. 10. 1995,,,,1058,,980,0,0,0,0,22,42,,https://www.tennisexplorer.com/list-players/?country=georgia
ఖ్మియాదష్విలి,మిఖైల్,ఎడమ,పురుషుడు,జార్జియా,27,24. 3. 1995,,,,1855,,1189,0,0,0,0,8,10,,https://www.tennisexplorer.com/list-players/?country=georgia
ఖ్రికడ్జ్,జార్జ్,కుడి,పురుషుడు,జార్జియా,33,2. 12. 1988,,,,1622,,1370,0,0,0,0,0,2,,https://www.tennisexplorer.com/list-players/?country=georgia
కోస్టావా,గౌరం,కుడి,పురుషుడు,జార్జియా,46,1. 9. 1975,,,,1116,,843,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=georgia
కుఖలష్విలి,లాజరే,కుడి,పురుషుడు,జార్జియా,31,5. 2. 1991,,,,830,,1297,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=georgia
క్వాంటలియాని,మైఖైలో,కుడి,పురుషుడు,జార్జియా,22,15. 1. 2000,,,,1723,,2170,0,0,0,0,1,10,,https://www.tennisexplorer.com/list-players/?country=georgia
క్వెర్నాడ్జ్ ,డేవిడ్,కుడి,పురుషుడు,జార్జియా,36,1. 2. 1986,,,,1587,,999,0,0,0,0,4,8,,https://www.tennisexplorer.com/list-players/?country=georgia
లాబాడ్జే,ఇరక్లి,ఎడమ,పురుషుడు,జార్జియా,40,9. 6. 1981,188 సెం.మీ,85 kg,,42,,110,0,9,0,9,107,101,,https://www.tennisexplorer.com/list-players/?country=georgia
మైసురాడ్జే,కాఖా,కుడి,పురుషుడు,జార్జియా,36,28. 11. 1985,,,,1606,,110,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=georgia
మార్గాలిటాడ్జే,వ్లాదిమిర్,కుడి,పురుషుడు,జార్జియా,45,18. 12. 1976,,,,1128,,110,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=georgia
మెపరిడ్జ్,షోటా,కుడి,పురుషుడు,జార్జియా,26,2. 4. 1996,,,,1748,,1506,0,0,0,0,5,15,,https://www.tennisexplorer.com/list-players/?country=georgia
మెట్రేవేలి,అలెగ్జాండర్,కుడి,పురుషుడు,జార్జియా,46,11. 4. 1976,,,,1490,,1506,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=georgia
మెట్రేవేలి,ఇరక్లి,కుడి,పురుషుడు,జార్జియా,24,4. 4. 1998,,,,1604,,1506,0,0,0,0,0,9,,https://www.tennisexplorer.com/list-players/?country=georgia
రెవజిష్విలి,జార్జ్,కుడి,పురుషుడు,జార్జియా,40,3. 5. 1982,,,,1529,,357,0,0,0,0,0,1,,https://www.tennisexplorer.com/list-players/?country=georgia
సంఖారాడ్జే,గివి,కుడి,పురుషుడు,జార్జియా,43,29. 1. 1979,,,,1139,,357,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=georgia
షుబ్లాడ్జ్,వజా,కుడి,పురుషుడు,జార్జియా,22,5. 9. 1999,,,,1815,,357,0,0,0,0,4,11,,https://www.tennisexplorer.com/list-players/?country=georgia
తక్తకిష్విలి,డిమీటర్,కుడి,పురుషుడు,జార్జియా,31,10. 1. 1991,,,,1716,,693,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=georgia
ఉషంగిష్విలి,ఇరక్లి,కుడి,పురుషుడు,జార్జియా,40,9. 2. 1982,,,,708,,753,0,0,0,0,0,2,,https://www.tennisexplorer.com/list-players/?country=georgia
వరిల్లాస్,జువాన్ పాబ్లో ,కుడి,పురుషుడు,పెరూ,26,6. 10. 1995,185 సెం.మీ,78 kg,122,104,663,158,0,9,0,9,104,103,,https://www.tennisexplorer.com/list-players/?country=peru
అల్వారెజ్,నికోలస్,కుడి,పురుషుడు,పెరూ,25,8. 6. 1996,185 సెం.మీ,80 kg,366,295,1037,343,0,4,0,4,42,38,,https://www.tennisexplorer.com/list-players/?country=peru
హుర్టాస్,డెల్పినోకన్నర్,కుడి,పురుషుడు,పెరూ,26,20. 12. 1995,188 సెం.మీ,86 kg,532,528,287,287,0,0,0,0,122,55,,https://www.tennisexplorer.com/list-players/?country=peru
హ్యూర్టస్,డెల్పినోఆర్క్లోన్,కుడి,పురుషుడు,పెరూ,27,16. 7. 1994,,,568,551,391,320,0,2,0,2,132,53,,https://www.tennisexplorer.com/list-players/?country=peru
పంట,జార్జ్,కుడి,పురుషుడు,పెరూ,26,22. 7. 1995,,,657,485,348,348,0,1,0,1,205,139,,https://www.tennisexplorer.com/list-players/?country=peru
ఎచాజు,మౌరిసియో,కుడి,పురుషుడు,పెరూ,33,21. 1. 1989,174 సెం.మీ,75 kg,1092,379,1607,376,0,6,0,6,162,148,,https://www.tennisexplorer.com/list-players/?country=peru
మెరినో,అలెగ్జాండర్,ఎడమ,పురుషుడు,పెరూ,29,31. 8. 1992,183 సెం.మీ,78 kg,1271,1177,245,245,0,0,0,0,188,194,,https://www.tennisexplorer.com/list-players/?country=peru
గల్డోస్,సెర్గియో,కుడి,పురుషుడు,పెరూ,32,2. 1. 1990,180 సెం.మీ,89 kg,1284,590,154,80,0,0,0,0,295,228,,https://www.tennisexplorer.com/list-players/?country=peru
బ్యూనో,గొంజాలో,కుడి,పురుషుడు,పెరూ,18,3. 4. 2004,,,1460,1451,801,791,0,0,0,0,5,10,,https://www.tennisexplorer.com/list-players/?country=peru
ఇయామాచ్కిన్,పీటర్,కుడి,పురుషుడు,పెరూ,,,,,1485,1473,954,950,0,0,0,0,0,1,,https://www.tennisexplorer.com/list-players/?country=peru
మోంటెస్,డే ఒకే మురీల్లో రోడ్రిగో నికోలస్,కుడి,పురుషుడు,పెరూ,,,,,1816,1662,,1722,0,0,0,0,0,4,,https://www.tennisexplorer.com/list-players/?country=peru
సాంచెజ్,రోడ్రిగో,కుడి,పురుషుడు,పెరూ,30,19. 9. 1991,,,1816,633,,428,0,0,0,0,65,42,,https://www.tennisexplorer.com/list-players/?country=peru
బ్యాలెట్టా,జియాన్లూకా,కుడి,పురుషుడు,పెరూ,,,,,1925,1828,,428,0,0,0,0,0,3,,https://www.tennisexplorer.com/list-players/?country=peru
వల్లేబూనా,దుయిల్యో,కుడి,పురుషుడు,పెరూ,29,6. 7. 1992,,,1925,971,2477,469,0,0,0,0,43,42,,https://www.tennisexplorer.com/list-players/?country=peru
అక్కున,డియెగో,కుడి,పురుషుడు,పెరూ,41,20. 3. 1981,,,,811,,1256,0,0,0,0,0,1,,https://www.tennisexplorer.com/list-players/?country=peru
ఐత,రాఫెల్,కుడి,పురుషుడు,పెరూ,29,11. 10. 1992,,,,1330,,1185,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=peru
అరంబూరు,అలెజాండ్రో,కుడి,పురుషుడు,పెరూ,53,14. 2. 1969,,,,252,,319,0,0,0,0,5,12,,https://www.tennisexplorer.com/list-players/?country=peru
బెరెట్టా,దుయిల్యో,కుడి,పురుషుడు,పెరూ,30,25. 2. 1992,178 సెం.మీ,79 kg,,364,,206,0,5,0,5,119,63,,https://www.tennisexplorer.com/list-players/?country=peru
కాబ్రేరా,గిల్లెర్మో,కుడి,పురుషుడు,పెరూ,24,2. 7. 1997,,,,1640,,206,0,0,0,0,1,2,,https://www.tennisexplorer.com/list-players/?country=peru
కార్డెనాస్,మోయిసెస్,కుడి,పురుషుడు,పెరూ,31,12. 6. 1990,,,,1264,,206,0,0,0,0,0,2,,https://www.tennisexplorer.com/list-players/?country=peru
కావేరో,జార్జ్,కుడి,పురుషుడు,పెరూ,30,1. 4. 1992,,,,1076,,1563,0,0,0,0,5,5,,https://www.tennisexplorer.com/list-players/?country=peru
చావెజ్,రెనాటో,కుడి,పురుషుడు,పెరూ,32,12. 11. 1989,,,,1287,,926,0,0,0,0,1,2,,https://www.tennisexplorer.com/list-players/?country=peru
హార్నా,లూయిస్,కుడి,పురుషుడు,పెరూ,41,14. 9. 1980,180 సెం.మీ,81 kg,,33,,15,2,6,2,6,143,110,,https://www.tennisexplorer.com/list-players/?country=peru
హు,కేవ మిచెల్ జాం ,ఎడమ,పురుషుడు,పెరూ,29,11. 7. 1992,,,,1745,,15,0,0,0,0,4,6,,https://www.tennisexplorer.com/list-players/?country=peru
ఇమాచ్కిన్,పెడ్రో,కుడి,పురుషుడు,పెరూ,26,3. 4. 1996,,,,1358,,954,0,0,0,0,22,23,,https://www.tennisexplorer.com/list-players/?country=peru
కు,మెజా ఆండ్రే,కుడి,పురుషుడు,పెరూ,27,26. 3. 1995,,,,1674,,1681,0,0,0,0,9,29,,https://www.tennisexplorer.com/list-players/?country=peru
మెరినో,ఇస్మాయిల్,కుడి,పురుషుడు,పెరూ,29,19. 5. 1993,,,,1515,,1681,0,0,0,0,1,1,,https://www.tennisexplorer.com/list-players/?country=peru
మిరాండా,ఇవాన్,కుడి,పురుషుడు,పెరూ,42,8. 3. 1980,175 సెం.మీ,70 kg,,106,,206,0,8,0,8,66,96,,https://www.tennisexplorer.com/list-players/?country=peru
మోంగెస్,సెర్గియో,కుడి,పురుషుడు,పెరూ,30,7. 5. 1992,,,,927,,1324,0,0,0,0,11,23,,https://www.tennisexplorer.com/list-players/?country=peru
మోంరోయ్ ,మారియో,కుడి,పురుషుడు,పెరూ,40,22. 5. 1982,,,,952,,1409,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=peru
నోరీగా,లూయిస్ ఫెలిప్,కుడి,పురుషుడు,పెరూ,38,20. 6. 1983,,,,1221,,1422,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=peru
రేక్,రోడోల్ఫో,కుడి,పురుషుడు,పెరూ,42,13. 7. 1979,,,,361,,515,0,0,0,0,1,5,,https://www.tennisexplorer.com/list-players/?country=peru
రామిరేజ్,లియోనార్డో,కుడి,పురుషుడు,పెరూ,38,6. 10. 1983,,,,1283,,515,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=peru
రామోస్,లూయిస్,కుడి,పురుషుడు,పెరూ,49,19. 3. 1973,,,,1560,,1497,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=peru
రాపోసో,డే ఒలివేరా అలవారో ,ఎడమ,పురుషుడు,పెరూ,31,5. 9. 1990,,,,752,,881,0,0,0,0,2,2,,https://www.tennisexplorer.com/list-players/?country=peru
రెనో,సెసర్,కుడి,పురుషుడు,పెరూ,47,22. 6. 1974,,,,1129,,881,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=peru
రీజెంట్,అలెజాండ్రో,కుడి,పురుషుడు,పెరూ,27,20. 6. 1994,,,,1421,,881,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=peru
రోజాస్,సెర్గియో,కుడి,పురుషుడు,పెరూ,33,14. 7. 1988,,,,1103,,1556,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=peru
రోసాస్,జువాన్ జోస్,కుడి,పురుషుడు,పెరూ,24,6. 11. 1997,185 సెం.మీ,70 kg,,1630,,1584,0,0,0,0,7,13,,https://www.tennisexplorer.com/list-players/?country=peru
సాంటోస్ ,డేనియల్,కుడి,పురుషుడు,పెరూ,27,1. 10. 1994,,,,1463,,1468,0,0,0,0,3,5,,https://www.tennisexplorer.com/list-players/?country=peru
సిల్వా,మాటియాస్,కుడి,పురుషుడు,పెరూ,38,31. 3. 1984,,,,648,,529,0,1,0,1,2,3,,https://www.tennisexplorer.com/list-players/?country=peru
సోటోమారినో,డేనియల్,కుడి,పురుషుడు,పెరూ,32,28. 8. 1989,,,,1274,,529,0,0,0,0,0,1,,https://www.tennisexplorer.com/list-players/?country=peru
టోర్రెస్,జువాన్‌పెడ్రో,కుడి,పురుషుడు,పెరూ,33,27. 5. 1989,,,,1061,,1328,0,0,0,0,0,2,,https://www.tennisexplorer.com/list-players/?country=peru
ఊళ్ళోవా,ఎడ్మండో,కుడి,పురుషుడు,పెరూ,27,14. 3. 1995,,,,1241,,1328,0,0,0,0,4,6,,https://www.tennisexplorer.com/list-players/?country=peru
వెనెరో,అమెరికా టుపి,కుడి,పురుషుడు,పెరూ,50,22. 2. 1972,,,,446,,259,0,0,0,0,5,6,,https://www.tennisexplorer.com/list-players/?country=peru
స్క్వార్ట్జ్మాన్,డియెగో,కుడి,పురుషుడు,అర్జెంటీనా,29,16. 8. 1992,170 సెం.మీ,64 kg,16,8,121,9,5,15,5,15,122,147,,https://www.tennisexplorer.com/list-players/?country=argentina
బేజ్,సెబాస్టియన్,కుడి,పురుషుడు,అర్జెంటీనా,21,28. 12. 2000,170 సెం.మీ,70 kg,36,36,1058,254,1,11,1,11,31,36,,https://www.tennisexplorer.com/list-players/?country=argentina
సెరుండోలో,ఫ్రాన్సిస్కో,కుడి,పురుషుడు,అర్జెంటీనా,23,13. 8. 1998,185 సెం.మీ,78 kg,45,44,342,135,0,13,0,13,35,49,,https://www.tennisexplorer.com/list-players/?country=argentina
కొరియా,ఫెడెరికో,కుడి,పురుషుడు,అర్జెంటీనా,30,9. 3. 1992,180 సెం.మీ,73 kg,54,52,490,91,0,12,0,12,149,163,,https://www.tennisexplorer.com/list-players/?country=argentina
డెల్బోనిస్,ఫెడెరికో,ఎడమ,పురుషుడు,అర్జెంటీనా,31,5. 10. 1990,193 సెం.మీ,90 kg,65,33,142,77,2,12,2,12,113,128,,https://www.tennisexplorer.com/list-players/?country=argentina
ఎట్చెవెరి,టోమస్ మార్టిన్,కుడి,పురుషుడు,అర్జెంటీనా,22,18. 7. 1999,196 సెం.మీ,82 kg,88,88,255,234,0,8,0,8,75,50,,https://www.tennisexplorer.com/list-players/?country=argentina
బాగ్నిస్,ఫకుండో,ఎడమ,పురుషుడు,అర్జెంటీనా,32,27. 2. 1990,183 సెం.మీ,82 kg,103,55,288,78,0,20,0,20,192,148,,https://www.tennisexplorer.com/list-players/?country=argentina
పెల్లా,గైడో,ఎడమ,పురుషుడు,అర్జెంటీనా,32,17. 5. 1990,183 సెం.మీ,79 kg,124,20,363,43,2,19,2,19,131,124,,https://www.tennisexplorer.com/list-players/?country=argentina
సెరుండోలో,జువాన్ మాన్యువల్,ఎడమ,పురుషుడు,అర్జెంటీనా,20,15. 11. 2001,183 సెం.మీ,68 kg,130,79,717,332,1,6,1,6,39,32,,https://www.tennisexplorer.com/list-players/?country=argentina
లోండేరో,జువాన్ ఇగ్నాసియో,కుడి,పురుషుడు,అర్జెంటీనా,28,15. 8. 1993,180 సెం.మీ,70 kg,142,50,925,79,1,6,1,6,110,136,,https://www.tennisexplorer.com/list-players/?country=argentina
కాచిన్,పెడ్రో,కుడి,పురుషుడు,అర్జెంటీనా,27,12. 4. 1995,185 సెం.మీ,77 kg,153,152,220,219,0,13,0,13,101,99,,https://www.tennisexplorer.com/list-players/?country=argentina
ఉగో,కారాబెల్లికామిలో,కుడి,పురుషుడు,అర్జెంటీనా,22,17. 6. 1999,185 సెం.మీ,83 kg,155,152,236,232,0,6,0,6,98,81,,https://www.tennisexplorer.com/list-players/?country=argentina
మేనా,ఫకుండో,కుడి,పురుషుడు,అర్జెంటీనా,29,22. 9. 1992,183 సెం.మీ,78 kg,167,159,235,210,0,10,0,10,204,173,,https://www.tennisexplorer.com/list-players/?country=argentina
ఒలివో,రెంజో,కుడి,పురుషుడు,అర్జెంటీనా,30,15. 3. 1992,180 సెం.మీ,73 kg,174,78,191,148,0,8,0,8,138,123,,https://www.tennisexplorer.com/list-players/?country=argentina
ఫికోవిచ్,జువాన్ పాబ్లో ,కుడి,పురుషుడు,అర్జెంటీనా,25,24. 1. 1997,191 సెం.మీ,78 kg,178,178,359,205,0,10,0,10,105,111,,https://www.tennisexplorer.com/list-players/?country=argentina
ట్రంగెల్లిటి,మార్కో,కుడి,పురుషుడు,అర్జెంటీనా,32,31. 1. 1990,178 సెం.మీ,78 kg,179,112,1215,174,0,11,0,11,75,75,,https://www.tennisexplorer.com/list-players/?country=argentina
తిరంటే,థియాగో అగస్టిన్,కుడి,పురుషుడు,అర్జెంటీనా,21,10. 4. 2001,185 సెం.మీ,78 kg,189,189,338,257,0,2,0,2,36,35,,https://www.tennisexplorer.com/list-players/?country=argentina
రోడ్రిగ్జ్,టావెర్నాశాంటియాగోఫా,కుడి,పురుషుడు,అర్జెంటీనా,22,16. 7. 1999,191 సెం.మీ,82 kg,201,201,230,230,0,7,0,7,103,107,,https://www.tennisexplorer.com/list-players/?country=argentina
కిక్కర్,నికోలస్,కుడి,పురుషుడు,అర్జెంటీనా,29,16. 8. 1992,178 సెం.మీ,75 kg,204,78,653,215,0,17,0,17,118,104,,https://www.tennisexplorer.com/list-players/?country=argentina
డియాజ్,అకోస్టాఫాకుండో,ఎడమ,పురుషుడు,అర్జెంటీనా,21,15. 12. 2000,183 సెం.మీ,73 kg,242,235,310,310,0,4,0,4,40,33,,https://www.tennisexplorer.com/list-players/?country=argentina
కొల్లరిని,ఆండ్రియా,ఎడమ,పురుషుడు,అర్జెంటీనా,30,31. 1. 1992,185 సెం.మీ,80 kg,244,186,264,203,0,16,0,16,118,123,,https://www.tennisexplorer.com/list-players/?country=argentina
ఒలివేరి,జెనారో ఆల్బెర్టో,కుడి,పురుషుడు,అర్జెంటీనా,23,4. 8. 1998,175 సెం.మీ,73 kg,249,240,337,329,0,2,0,2,79,79,,https://www.tennisexplorer.com/list-players/?country=argentina
కాసనోవా,హెర్నాన్,కుడి,పురుషుడు,అర్జెంటీనా,28,6. 2. 1994,178 సెం.మీ,76 kg,290,255,187,187,0,19,0,19,207,151,,https://www.tennisexplorer.com/list-players/?country=argentina
విలన్యువా,గొంజాలో,కుడి,పురుషుడు,అర్జెంటీనా,27,13. 1. 1995,175 సెం.మీ,70 kg,296,290,381,380,0,7,0,7,105,147,,https://www.tennisexplorer.com/list-players/?country=argentina
కమేసన,ఫ్రాన్సిస్కో,కుడి,పురుషుడు,అర్జెంటీనా,21,6. 10. 2000,,,306,298,583,487,0,2,0,2,58,55,,https://www.tennisexplorer.com/list-players/?country=argentina
టోర్రెస్,జువాన్ బౌతిష్ట ,కుడి,పురుషుడు,అర్జెంటీనా,20,2. 4. 2002,,,313,305,351,351,0,3,0,3,32,29,,https://www.tennisexplorer.com/list-players/?country=argentina
జుయారెజ్,ఫకుండో,కుడి,పురుషుడు,అర్జెంటీనా,24,23. 9. 1997,,,355,343,637,567,0,2,0,2,56,83,,https://www.tennisexplorer.com/list-players/?country=argentina
లింగువా ,లావల్లెన్అలెజోలోరెంజో,కుడి,పురుషుడు,అర్జెంటీనా,21,9. 3. 2001,,,422,415,546,472,0,2,0,2,66,39,,https://www.tennisexplorer.com/list-players/?country=argentina
జుకాస్,మాటియాస్,కుడి,పురుషుడు,అర్జెంటీనా,26,4. 5. 1996,183 సెం.మీ,72 kg,425,374,377,238,0,8,0,8,243,139,,https://www.tennisexplorer.com/list-players/?country=argentina
బుర్రుచగా,రోమన్ ఆండ్రెస్,కుడి,పురుషుడు,అర్జెంటీనా,20,23. 1. 2002,,,443,442,346,346,0,2,0,2,43,25,,https://www.tennisexplorer.com/list-players/?country=argentina
పాజ్,జువాన్ పాబ్లో ,కుడి,పురుషుడు,అర్జెంటీనా,27,4. 1. 1995,,,451,284,591,327,0,7,0,7,239,183,,https://www.tennisexplorer.com/list-players/?country=argentina
డెస్కోట్,మాటియాస్ ఫ్రాన్స్కో ,కుడి,పురుషుడు,అర్జెంటీనా,27,29. 8. 1994,191 సెం.మీ,87 kg,475,285,318,252,0,6,0,6,164,136,,https://www.tennisexplorer.com/list-players/?country=argentina
ఆండ్రియోజీ,గైడో,కుడి,పురుషుడు,అర్జెంటీనా,30,5. 8. 1991,183 సెం.మీ,78 kg,519,70,357,101,0,14,0,14,183,113,,https://www.tennisexplorer.com/list-players/?country=argentina
నవోన్,మరియానో,కుడి,పురుషుడు,అర్జెంటీనా,21,27. 2. 2001,,,543,528,604,557,0,0,0,0,39,39,,https://www.tennisexplorer.com/list-players/?country=argentina
మేయర్,లియోనార్డో,కుడి,పురుషుడు,అర్జెంటీనా,35,15. 5. 1987,191 సెం.మీ,80 kg,547,21,402,48,2,10,2,10,190,198,,https://www.tennisexplorer.com/list-players/?country=argentina
అబోయన్,వాలెరియో,కుడి,పురుషుడు,అర్జెంటీనా,19,14. 6. 2002,,,579,579,422,422,0,1,0,1,38,19,,https://www.tennisexplorer.com/list-players/?country=argentina
కెస్టెల్బోయిమ్,మరియానో,కుడి,పురుషుడు,అర్జెంటీనా,26,6. 2. 1996,,,599,387,458,263,0,4,0,4,288,156,,https://www.tennisexplorer.com/list-players/?country=argentina
మోన్జోన్,ఇగ్నాసియో,కుడి,పురుషుడు,అర్జెంటీనా,24,5. 1. 1998,,,616,609,624,533,0,3,0,3,109,104,,https://www.tennisexplorer.com/list-players/?country=argentina
ఎగేయా ,ఫ్రాంకోఇమాన్యుయేల్,కుడి,పురుషుడు,అర్జెంటీనా,,,,,621,582,597,355,0,0,0,0,138,124,,https://www.tennisexplorer.com/list-players/?country=argentina
గోమెజ్,ఫెడెరికోఅగస్టిన్,కుడి,పురుషుడు,అర్జెంటీనా,25,26. 11. 1996,,,665,657,696,696,0,0,0,0,17,20,,https://www.tennisexplorer.com/list-players/?country=argentina
టెంటి,ఫెర్మిన్,కుడి,పురుషుడు,అర్జెంటీనా,24,14. 6. 1997,180 సెం.మీ,74 kg,674,561,560,510,0,0,0,0,104,106,,https://www.tennisexplorer.com/list-players/?country=argentina
మార్టినెజ్,మాటియోనికోలస్,కుడి,పురుషుడు,అర్జెంటీనా,28,5. 3. 1994,,,681,390,613,219,0,5,0,5,257,124,,https://www.tennisexplorer.com/list-players/?country=argentina
ఫర్జాత్,తోమస్,కుడి,పురుషుడు,అర్జెంటీనా,21,15. 2. 2001,,,684,671,714,710,0,1,0,1,34,46,,https://www.tennisexplorer.com/list-players/?country=argentina
అబోయన్,లియోనార్డో,కుడి,పురుషుడు,అర్జెంటీనా,24,20. 4. 1998,,,715,714,411,411,0,1,0,1,68,56,,https://www.tennisexplorer.com/list-players/?country=argentina
అర్గ్యుల్లో,ఫకుండో,కుడి,పురుషుడు,అర్జెంటీనా,29,4. 8. 1992,178 సెం.మీ,77 kg,741,104,,124,0,16,0,16,162,121,,https://www.tennisexplorer.com/list-players/?country=argentina
గాలార్జా,జువాన్ ఇగ్నసీఓ ,కుడి,పురుషుడు,అర్జెంటీనా,28,18. 3. 1994,183 సెం.మీ,81 kg,749,334,463,310,0,8,0,8,262,145,,https://www.tennisexplorer.com/list-players/?country=argentina
ఒటేగుయ్,జువాన్ బౌతిష్ట ,కుడి,పురుషుడు,అర్జెంటీనా,23,23. 2. 1999,191 సెం.మీ,83 kg,759,638,690,690,0,1,0,1,54,50,,https://www.tennisexplorer.com/list-players/?country=argentina
డెల్,పోట్రోజువాన్మార్టిన్,కుడి,పురుషుడు,అర్జెంటీనా,33,23. 9. 1988,198 సెం.మీ,97 kg,765,3,,105,22,6,22,6,64,62,,https://www.tennisexplorer.com/list-players/?country=argentina
హిడాల్గో,గాబ్రియేల్ అలెజాండ్రో,కుడి,పురుషుడు,అర్జెంటీనా,31,6. 8. 1990,,,819,311,746,413,0,5,0,5,185,97,,https://www.tennisexplorer.com/list-players/?country=argentina
