first_name,last_name,plays,gender,country,age,DOB,height,weight,current_singles,highest_singles,current_doubles,highest_doubles,singles_main_tournaments,singles_lower_tournaments,doubles_main_tournaments,doubles_lower_tournaments,wins_singles,losses_singles,total_singles,References
వరిల్లాస్,జువాన్ పాబ్లో,కుడి,పురుషుడు,పెరూ,26,6. 10. 1995,185 సెం.మీ,78 kg,122,104,663,158,0,9,0,9,104,103,207,https://www.tennisexplorer.com/list-players/?country=peru
అల్వారెజ్,నికోలస్,కుడి,పురుషుడు,పెరూ,25,8. 6. 1996,185 సెం.మీ,80 kg,366,295,1037,343,0,4,0,4,42,38,80,https://www.tennisexplorer.com/list-players/?country=peru
హుర్టాస్,డెల్పినోకన్నర్,కుడి,పురుషుడు,పెరూ,26,20. 12. 1995,188 సెం.మీ,86 kg,532,528,287,287,0,0,0,0,122,55,177,https://www.tennisexplorer.com/list-players/?country=peru
గ్లేజోస్,మనోలిస్,ఎడమ,పురుషుడు,గ్రీస్,31,5. 11. 1990,,,,964,,972,0,0,0,0,0,1,1,https://www.tennisexplorer.com/list-players/?country=greece
ఎట్చెవెరి,టోమస్ మార్టిన్,కుడి,పురుషుడు,అర్జెంటీనా,22,18. 7. 1999,196 సెం.మీ,82 kg,88,88,255,234,0,8,0,8,75,50,125,https://www.tennisexplorer.com/list-players/?country=argentina
ప్రీచ్టెల్,సెబాస్టియన్,కుడి,పురుషుడు,జర్మనీ,26,14. 5. 1996,185 cm,78 kg,637,637,1254,767,0,1,0,1,51,88,139,https://www.tennisexplorer.com/list-players/?country=germany
మోటా,బెర్నార్డో,కుడి,పురుషుడు,పోర్చుగల్,50,14. 6. 1971,178 cm,77 kg,,279,,129,0,0,0,0,32,26,58,https://www.tennisexplorer.com/list-players/?country=portugal
కాపిల్,మారియస్,కుడి,పురుషుడు,రొమేనియా,31,17. 10. 1990,193 cm,87 kg,252,56,693,182,0,7,0,7,67,93,160,https://www.tennisexplorer.com/list-players/?country=romania
శైలా,యరస్లావ్,కుడి,పురుషుడు,బెలారస్,29,5. 3. 1993,193 cm,90 kg,1816,306,1836,164,0,5,0,5,265,113,378,https://www.tennisexplorer.com/list-players/?country=belarus
గాడ్రీ,లెవెంటే,కుడి,పురుషుడు,హంగేరి,30,17. 4. 1992,185 cm,88 kg,,934,,513,0,0,0,0,85,65,150,https://www.tennisexplorer.com/list-players/?country=hungary
బలే,లాన్,కుడి,పురుషుడు,రిపబ్లిక్ ఆఫ్ సౌత్ ఆఫ్రికా,52,7. 9. 1969,170 cm,80 kg,,944,,59,0,0,0,0,50,55,105,https://www.tennisexplorer.com/list-players/?country=rsa
హర్మన్,లూయిస్,కుడి,పురుషుడు,బెల్జియం,21,3. 5. 2001,,,1558,1434,2329,1639,0,0,0,0,2,7,9,https://www.tennisexplorer.com/list-players/?country=belgium
విశ్వకర్మ,సిద్ధార్థ్,ఎడమ,పురుషుడు,భారతదేశం,27,7. 10. 1994,191 cm,74 kg,1209,1023,,1519,0,0,0,0,3,10,13,https://www.tennisexplorer.com/list-players/?country=india
సింగ్,దల్విందర్,కుడి,పురుషుడు,భారతదేశం,26,25. 4. 1996,180 cm,68 kg,1220,791,1652,1166,0,0,0,0,10,23,33,https://www.tennisexplorer.com/list-players/?country=india
క్లోక్,తడెనిస్,కుడి,పురుషుడు,రష్యా,24,26. 5. 1998,180 cm,82 kg,731,514,599,599,0,1,0,1,80,96,176,https://www.tennisexplorer.com/list-players/?country=russia
రంగకట్,క్రిస్టోఫర్,కుడి,పురుషుడు,ఇండోనేషియా,32,14. 1. 1990,175 cm,68 kg,,241,413,68,0,11,0,11,311,148,459,https://www.tennisexplorer.com/list-players/?country=indonesia
మిలోజెవిక్,నికోలా,కుడి,పురుషుడు,సెర్బియా,26,19. 6. 1995,188 cm,76 kg,161,125,704,138,0,15,0,15,33,65,98,https://www.tennisexplorer.com/list-players/?country=serbia
బక్షి,ఈడాన్,కుడి,పురుషుడు,ఇజ్రాయెల్,24,12. 12. 1997,183 cm,75 kg,,1680,,1362,0,0,0,0,19,47,66,https://www.tennisexplorer.com/list-players/?country=israel
నేమా,పాట్రిక్,కుడి,పురుషుడు,స్లోవేకియా,24,25. 10. 1997,191 cm,90 kg,1709,560,,706,0,0,0,0,33,25,58,https://www.tennisexplorer.com/list-players/?country=slovakia
టుమసోనిస్,గాబ్రియేల్ పాస్కోట్టో,ఎడమ,పురుషుడు,బ్రెజిల్,26,22. 1. 1996,,,1213,1213,2014,1490,0,0,0,0,7,28,35,https://www.tennisexplorer.com/list-players/?country=brazil
అర్నాబోల్ది,ఆండ్రియా,ఎడమ,పురుషుడు,ఇటలీ,34,27. 12. 1987,180 cm,72 kg,221,153,871,130,0,7,0,7,118,152,270,https://www.tennisexplorer.com/list-players/?country=italy
రాడిన్స్కి,అల్జాజ్,కుడి,పురుషుడు,స్లోవేనియా,26,8. 6. 1995,188 cm,84 kg,,802,,974,0,0,0,0,19,36,55,https://www.tennisexplorer.com/list-players/?country=slovenia
ఆండ్రీవ్,అడ్రియన్,కుడి,పురుషుడు,బల్గేరియా,21,12. 5. 2001,180 cm,66 kg,363,319,705,419,0,2,0,2,8,19,27,https://www.tennisexplorer.com/list-players/?country=bulgaria
లాజరోవ్,అలెగ్జాండర్,కుడి,పురుషుడు,బల్గేరియా,24,6. 11. 1997,191 cm,84 kg,373,370,865,360,0,4,0,4,56,66,122,https://www.tennisexplorer.com/list-players/?country=bulgaria
షిమిజు,యుత,ఎడమ,పురుషుడు,జపాన్,22,9. 6. 1999,163 cm,62 kg,473,313,433,335,0,9,0,9,89,49,138,https://www.tennisexplorer.com/list-players/?country=japan
కిమ్,జైహ్వాన్,ఎడమ,పురుషుడు,దక్షిణ కొరియా,27,23. 9. 1994,183 cm,85 kg,1586,796,,1210,0,0,0,0,26,42,68,https://www.tennisexplorer.com/list-players/?country=south-korea
ఖబీబులిన్,తైమూర్,కుడి,పురుషుడు,కజకిస్తాన్,26,2. 8. 1995,185 cm,83 kg,1586,753,542,154,0,0,0,0,200,160,360,https://www.tennisexplorer.com/list-players/?country=kazakhstan
రోబ్రేడో,టామీ,కుడి,పురుషుడు,స్పెయిన్,40,1. 5. 1982,180 cm,75 kg,385,5,,16,13,8,13,8,178,197,375,https://www.tennisexplorer.com/list-players/?country=spain
పెక్,జాషువా,కుడి,పురుషుడు,కెనడా,23,10. 12. 1998,196 cm,78 kg,1089,575,813,635,0,0,0,0,26,29,55,https://www.tennisexplorer.com/list-players/?country=canada
మృధా,జోనాథన్,కుడి,పురుషుడు,స్వీడన్,27,8. 4. 1995,183 cm,75 kg,449,444,1212,508,0,4,0,4,80,69,149,https://www.tennisexplorer.com/list-players/?country=sweden
ఎరిక్సన్,మార్కస్,కుడి,పురుషుడు,స్వీడన్,32,29. 11. 1989,188 cm,80 kg,524,277,252,205,0,10,0,10,297,160,457,https://www.tennisexplorer.com/list-players/?country=sweden
మార్టినెజ్,మిర్కో,కుడి,పురుషుడు,స్విట్జర్లాండ్,24,3. 4. 1998,175 cm,70 kg,859,838,684,629,0,1,0,1,84,88,172,https://www.tennisexplorer.com/list-players/?country=switzerland
వాంగ్,చుహాన్,కుడి,పురుషుడు,చైనా,30,24. 2. 1992,188 cm,75 kg,1290,365,1317,558,0,2,0,2,57,93,150,https://www.tennisexplorer.com/list-players/?country=china
బెండెక్,జోస్ డేనియల్,కుడి,పురుషుడు,కొలంబియా,31,24. 12. 1990,183 cm,76 kg,2005,1039,1030,481,0,0,0,0,109,102,211,https://www.tennisexplorer.com/list-players/?country=colombia
హెర్నాండెజ్,రామిరేజ్ సెర్గియో లూయిస్,కుడి,పురుషుడు,కొలంబియా,22,28. 8. 1999,175 cm,68 kg,2005,991,1649,1014,0,0,0,0,12,30,42,https://www.tennisexplorer.com/list-players/?country=colombia
బురఫరిట్ట,ఫాసావిట్,ఎడమ,పురుషుడు,థాయిలాండ్,29,24. 12. 1992,,,,793,,1225,0,0,0,0,13,26,39,https://www.tennisexplorer.com/list-players/?country=thailand
అగాబిగున్,సర్ప్,కుడి,పురుషుడు,టర్కీ,24,12. 6. 1997,178 cm,75 kg,1270,815,559,322,0,0,0,0,161,150,311,https://www.tennisexplorer.com/list-players/?country=turkey
అక్సు,సెంగిజ్,కుడి,పురుషుడు,టర్కీ,23,30. 7. 1998,,,1442,902,1149,681,0,0,0,0,59,65,124,https://www.tennisexplorer.com/list-players/?country=turkey
